Score,Summary,Text
1,Misleading Image of Item,"Be aware that the image shown is not the true product you will receive. The product I received is the new blend ""from the makers of Maxwell House"". The new blend tastes a lot differently from the original blend. I ordered the product from Amazon.com because it gave the impression they had the original blend. I would not have ordered it if I had known otherwise....and it is a non-returnable product. I feel this is very misleading and unfair.<br /><a href=""http://www.amazon.com/gp/product/B001E52WQA"">General Foods International Coffee, French Vanilla Cafe Coffee Drink Mix, 9-Ounce Tins (Pack of 6)</a>"
5,Delicious,"I love these chips, I buy the 24 pack once a month. The bags are just the right size for snacking and prevent me from eating way too much with the larger bags. The jalapeno spice is subtle enough not to be overpowering but still gives you a great amount of flavor."
5,Delicious!,"This is the best chai I've ever had in my life.  Well, except when I'm in the mood for something mellower and I get Big Train Vanilla instead.  At any rate, what a deal!  Buy two of these, get Amazon's free shipping!  What's not to love?<br /><br />Also, anyone who was disappointed in the caffeine content might look into the Spiced Decaf or Green Tea chai also made by Big Train.  I can't vouch for the decaf, but the packet of Green that I bought had 2 grams of caffeine per serving and a nice subtle minty touch added to the spicy taste we all know and love."
3,Bought on Recommendation,"I bought this Organic catnip because it came up as one of Amazon's RECOMMENDATIONS FOR YOU options. Without looking at reviews or checking any other prices, I got it immediately because I was out of Catnip and are the proud owner of 4 felines.<br /><br />I put this on the kidders' favorite toys and pieces of kitty furniture as soon as it arrived. No one was very impressed, but I thought they just might be having an off day. I had just acquired 2 new kittens and tempers were a bit thin with some fur persons. Then I went to PetCo one afternoon and found a wonderful toy for the kitter who was most annoyed. It was a huge markdown and had a huge pad where this one could play alone (just the thing in her case). The toy even provided a small scratching area made of carboard. So I took it home and put it together for ""Miss Annoyed With The New Kittens"". Then I got the tin of Sojos organic catnip out and put it on th scratching area. Miss Annoyed usually goes ape for catnip. She likes to eat it and then enjoy the side effects of this happy candy. She went to the new  toy and was very interested in playing, but ate a mouthful of nip, shook her head and walked away. That was my clue that something was quite amiss.<br /><br />Since I needed to get these 4 guys to bond, I went back to Amazon and began looking for catnip again. I found Yeowww! catnip (in a huge tub) AND DID READ THE REVIEWS. This product got great reviews, so I ordered it immediately. I needed HELP!!!!![<a href=""http://www.amazon.com/gp/product/B004FDD1NQ"">Yeowww! Catnip Tub 4 oz</a>[ASIN:B0002O0126 Yeowww! 100% Organic Loose Catnip, Leaf and Bud Blend, 1 Ounce Pouch]] It arrived the next day. As soon as I had the tub open, I applied this catnip to the scratching area of ""Miss Annoyed's"" toy and sat back to see what would happen when I showed her the new catnip. She began to munch away and became ""Miss Agreeable.""<br /><br />Perhaps my Sojos Catnip was old or stale, but it should have been fine in its tin. But my cats just did not like it. ""The Other Brand"" made a huge impression on all of them though. So, I am leaning towards feeling that something MAY have bee Off in the Sojos that I got. Therefore, I will give it 3 stars. Sorry it was not accepted more readily at my home, but then the facts are the facts and the kitters like the Other.<br /><br />It happens to be December as I write, so:<br /><br />Merry Christmas and a Happy New Year:<br /><br />SIGNED:<br /><br />Gabriella (age 3); Trinity (3 1/2); Wisdom, sometimes known as Black Majic (5 mo); and Mercy (5 mo). Bye ya'll! and ""Meow"""
5,These chips are addictive!,"<a href=""http://www.amazon.com/gp/product/B000GWLUGU"">Plocky's Tortilla Chips, Red Beans 'N Rice, 7 Ounce Bag (Pack of 12)</a>  I first tasted these chips while visiting relatives in KY.  They are not available where I live, so I ordered them from Amazon.  WOW!  My friends and family are all addicted to them.  The spicy flavor grabs you at the first bite.  Once a bag is open, it is gone!"
1,Terrible artificial sweetener taste,This juice has a terrible artificial sweetener taste and such an ingredient should have been listed in the description. It tastes like a DIET soda instead of fruit juice.
5,These are so easy!,"I can make cookies anytime + leave plain or put nuts/decorations on.  Convenient pouches, not alot of ingreds to put together.  I just don't have the time anymore to make cookies from scratch that often.  These taste really good and I use subscribe + save to get them cheaper!"
5,EXCELLENT BUY !,I am new to the use of yuzu kosho but I immediately fell in love with the taste and versatility of this product(I have purchased the green one too: very good as well) .
5,Excellent for my senior cats!,"I can't guarantee for everyone, but this food really works for my tough to feed seniors. As cats age their renal systems begin to gradually fail. My experience with cats in various stages of renal failure is to feed them whatever is palatable enough to keep their weight up. Not give weird diets that restrict protein. The ""renal"" diets that many large companies have been trying to push totally ignore the fact that a cat in any stage of renal failure will fail faster if losing weight due to unpalatable ""renal"" or low protein foods. Our renal tests here confirm that they are very early stage after 3 years of solely worrying about weight loss. My 3 cats are all 18 and one of the three had improved numbers for her last BUN last month and the other 2 low 40s with no crystals. We still experience chronic UTIs with one, but that's always been an issue for her, her weight is incredible and she bounces back immediately from them.<br /><br />As for the smell of poo that some people complain about in these high quality foods, really! If you don't like smelly poo, DO NOT have cats."
5,My dog loves them,"My dog is a very picky eater, but I thought I would give these treats a try and he loves them. He's a tiny five pound Chorkie so they are a perfect size for him and even if you had a bigger dog they'd be great for training."
