Score,Combination,Combination_without_stopwords,Combination_without_stopwords_Lemmatized,Final_review
1,"['misleading', 'image', 'of', 'item', 'be', 'aware', 'that', 'the', 'image', 'shown', 'is', 'not', 'the', 'true', 'product', 'you', 'will', 'receive', 'the', 'product', 'i', 'received', 'is', 'the', 'new', 'blend', 'from', 'the', 'makers', 'of', 'maxwell', 'house', 'the', 'new', 'blend', 'tastes', 'a', 'lot', 'differently', 'from', 'the', 'original', 'blend', 'i', 'ordered', 'the', 'product', 'from', 'because', 'it', 'gave', 'the', 'impression', 'they', 'had', 'the', 'original', 'blend', 'i', 'would', 'not', 'have', 'ordered', 'it', 'if', 'i', 'had', 'known', 'otherwise', 'and', 'it', 'is', 'a', 'product', 'i', 'feel', 'this', 'is', 'very', 'misleading', 'and', 'unfair']","['misleading', 'image', 'item', 'aware', 'image', 'shown', 'true', 'product', 'receive', 'product', 'received', 'new', 'blend', 'makers', 'maxwell', 'house', 'new', 'blend', 'tastes', 'lot', 'differently', 'original', 'blend', 'ordered', 'product', 'gave', 'impression', 'original', 'blend', 'would', 'ordered', 'known', 'otherwise', 'product', 'feel', 'misleading', 'unfair']","['mislead', 'image', 'item', 'aware', 'image', 'show', 'true', 'product', 'receive', 'product', 'receive', 'new', 'blend', 'maker', 'maxwell', 'house', 'new', 'blend', 'taste', 'lot', 'differently', 'original', 'blend', 'order', 'product', 'give', 'impression', 'original', 'blend', 'would', 'order', 'know', 'otherwise', 'product', 'feel', 'mislead', 'unfair']","['mislead', 'image', 'item', 'aware', 'image', 'show', 'true', 'product', 'receive', 'product', 'receive', 'new', 'blend', 'maker', 'maxwell', 'house', 'new', 'blend', 'taste', 'lot', 'differently', 'original', 'blend', 'order', 'product', 'give', 'impression', 'original', 'blend', 'would', 'order', 'know', 'otherwise', 'product', 'feel', 'mislead', 'unfair']"
5,"['delicious', 'i', 'love', 'these', 'chips', 'i', 'buy', 'the', '24', 'pack', 'once', 'a', 'month', 'the', 'bags', 'are', 'just', 'the', 'right', 'size', 'for', 'snacking', 'and', 'prevent', 'me', 'from', 'eating', 'way', 'too', 'much', 'with', 'the', 'larger', 'bags', 'the', 'jalapeno', 'spice', 'is', 'subtle', 'enough', 'not', 'to', 'be', 'overpowering', 'but', 'still', 'gives', 'you', 'a', 'great', 'amount', 'of', 'flavor']","['delicious', 'love', 'chips', 'buy', '24', 'pack', 'month', 'bags', 'right', 'size', 'snacking', 'prevent', 'eating', 'way', 'much', 'larger', 'bags', 'jalapeno', 'spice', 'subtle', 'enough', 'overpowering', 'still', 'gives', 'great', 'amount', 'flavor']","['delicious', 'love', 'chip', 'buy', '24', 'pack', 'month', 'bag', 'right', 'size', 'snack', 'prevent', 'eat', 'way', 'much', 'large', 'bag', 'jalapeno', 'spice', 'subtle', 'enough', 'overpower', 'still', 'give', 'great', 'amount', 'flavor']","['delicious', 'love', 'chip', 'buy', '24', 'pack', 'month', 'bag', 'right', 'size', 'snack', 'prevent', 'eat', 'way', 'much', 'large', 'bag', 'jalapeno', 'spice', 'subtle', 'enough', 'overpower', 'still', 'give', 'great', 'amount', 'flavor']"
5,"['delicious', 'this', 'is', 'the', 'best', 'chai', 'i', 'ever', 'had', 'in', 'my', 'life', 'well', 'except', 'when', 'i', 'in', 'the', 'mood', 'for', 'something', 'mellower', 'and', 'i', 'get', 'big', 'train', 'vanilla', 'instead', 'at', 'any', 'rate', 'what', 'a', 'deal', 'buy', 'two', 'of', 'these', 'get', 'amazon', 'free', 'shipping', 'what', 'not', 'to', 'love', 'also', 'anyone', 'who', 'was', 'disappointed', 'in', 'the', 'caffeine', 'content', 'might', 'look', 'into', 'the', 'spiced', 'decaf', 'or', 'green', 'tea', 'chai', 'also', 'made', 'by', 'big', 'train', 'i', 'ca', 'vouch', 'for', 'the', 'decaf', 'but', 'the', 'packet', 'of', 'green', 'that', 'i', 'bought', 'had', '2', 'grams', 'of', 'caffeine', 'per', 'serving', 'and', 'a', 'nice', 'subtle', 'minty', 'touch', 'added', 'to', 'the', 'spicy', 'taste', 'we', 'all', 'know', 'and', 'love']","['delicious', 'best', 'chai', 'ever', 'life', 'well', 'except', 'mood', 'something', 'mellower', 'get', 'big', 'train', 'vanilla', 'instead', 'rate', 'deal', 'buy', 'two', 'get', 'amazon', 'free', 'shipping', 'love', 'also', 'anyone', 'disappointed', 'caffeine', 'content', 'might', 'look', 'spiced', 'decaf', 'green', 'tea', 'chai', 'also', 'made', 'big', 'train', 'ca', 'vouch', 'decaf', 'packet', 'green', 'bought', '2', 'grams', 'caffeine', 'per', 'serving', 'nice', 'subtle', 'minty', 'touch', 'added', 'spicy', 'taste', 'know', 'love']","['delicious', 'best', 'chai', 'ever', 'life', 'well', 'except', 'mood', 'something', 'mellower', 'get', 'big', 'train', 'vanilla', 'instead', 'rate', 'deal', 'buy', 'two', 'get', 'amazon', 'free', 'shipping', 'love', 'also', 'anyone', 'disappointed', 'caffeine', 'content', 'might', 'look', 'spice', 'decaf', 'green', 'tea', 'chai', 'also', 'make', 'big', 'train', 'ca', 'vouch', 'decaf', 'packet', 'green', 'bought', '2', 'gram', 'caffeine', 'per', 'serve', 'nice', 'subtle', 'minty', 'touch', 'add', 'spicy', 'taste', 'know', 'love']","['delicious', 'best', 'chai', 'ever', 'life', 'well', 'except', 'mood', 'something', 'mellower', 'get', 'big', 'train', 'vanilla', 'instead', 'rate', 'deal', 'buy', 'two', 'get', 'amazon', 'free', 'shipping', 'love', 'also', 'anyone', 'disappointed', 'caffeine', 'content', 'might', 'look', 'spice', 'decaf', 'green', 'tea', 'chai', 'also', 'make', 'big', 'train', 'ca', 'vouch', 'decaf', 'packet', 'green', 'bought', '2', 'gram', 'caffeine', 'per', 'serve', 'nice', 'subtle', 'minty', 'touch', 'add', 'spicy', 'taste', 'know', 'love']"
3,"['bought', 'on', 'recommendation', 'i', 'bought', 'this', 'organic', 'catnip', 'because', 'it', 'came', 'up', 'as', 'one', 'of', 'amazon', 'recommendations', 'for', 'you', 'options', 'without', 'looking', 'at', 'reviews', 'or', 'checking', 'any', 'other', 'prices', 'i', 'got', 'it', 'immediately', 'because', 'i', 'was', 'out', 'of', 'catnip', 'and', 'are', 'the', 'proud', 'owner', 'of', '4', 'put', 'this', 'on', 'the', 'kidders', 'favorite', 'toys', 'and', 'pieces', 'of', 'kitty', 'furniture', 'as', 'soon', 'as', 'it', 'arrived', 'no', 'one', 'was', 'very', 'impressed', 'but', 'i', 'thought', 'they', 'just', 'might', 'be', 'having', 'an', 'off', 'day', 'i', 'had', 'just', 'acquired', '2', 'new', 'kittens', 'and', 'tempers', 'were', 'a', 'bit', 'thin', 'with', 'some', 'fur', 'persons', 'then', 'i', 'went', 'to', 'petco', 'one', 'afternoon', 'and', 'found', 'a', 'wonderful', 'toy', 'for', 'the', 'kitter', 'who', 'was', 'most', 'annoyed', 'it', 'was', 'a', 'huge', 'markdown', 'and', 'had', 'a', 'huge', 'pad', 'where', 'this', 'one', 'could', 'play', 'alone', 'just', 'the', 'thing', 'in', 'her', 'case', 'the', 'toy', 'even', 'provided', 'a', 'small', 'scratching', 'area', 'made', 'of', 'carboard', 'so', 'i', 'took', 'it', 'home', 'and', 'put', 'it', 'together', 'for', 'miss', 'annoyed', 'with', 'the', 'new', 'kittens', 'then', 'i', 'got', 'the', 'tin', 'of', 'sojos', 'organic', 'catnip', 'out', 'and', 'put', 'it', 'on', 'th', 'scratching', 'area', 'miss', 'annoyed', 'usually', 'goes', 'ape', 'for', 'catnip', 'she', 'likes', 'to', 'eat', 'it', 'and', 'then', 'enjoy', 'the', 'side', 'effects', 'of', 'this', 'happy', 'candy', 'she', 'went', 'to', 'the', 'new', 'toy', 'and', 'was', 'very', 'interested', 'in', 'playing', 'but', 'ate', 'a', 'mouthful', 'of', 'nip', 'shook', 'her', 'head', 'and', 'walked', 'away', 'that', 'was', 'my', 'clue', 'that', 'something', 'was', 'quite', 'i', 'needed', 'to', 'get', 'these', '4', 'guys', 'to', 'bond', 'i', 'went', 'back', 'to', 'amazon', 'and', 'began', 'looking', 'for', 'catnip', 'again', 'i', 'found', 'yeowww', 'catnip', 'in', 'a', 'huge', 'tub', 'and', 'did', 'read', 'the', 'reviews', 'this', 'product', 'got', 'great', 'reviews', 'so', 'i', 'ordered', 'it', 'immediately', 'i', 'needed', 'help', 'asin', 'b0002o0126', 'yeowww', '100', 'organic', 'loose', 'catnip', 'leaf', 'and', 'bud', 'blend', '1', 'ounce', 'pouch', 'it', 'arrived', 'the', 'next', 'day', 'as', 'soon', 'as', 'i', 'had', 'the', 'tub', 'open', 'i', 'applied', 'this', 'catnip', 'to', 'the', 'scratching', 'area', 'of', 'miss', 'annoyed', 'toy', 'and', 'sat', 'back', 'to', 'see', 'what', 'would', 'happen', 'when', 'i', 'showed', 'her', 'the', 'new', 'catnip', 'she', 'began', 'to', 'munch', 'away', 'and', 'became', 'miss', 'agreeable', 'perhaps', 'my', 'sojos', 'catnip', 'was', 'old', 'or', 'stale', 'but', 'it', 'should', 'have', 'been', 'fine', 'in', 'its', 'tin', 'but', 'my', 'cats', 'just', 'did', 'not', 'like', 'it', 'the', 'other', 'brand', 'made', 'a', 'huge', 'impression', 'on', 'all', 'of', 'them', 'though', 'so', 'i', 'am', 'leaning', 'towards', 'feeling', 'that', 'something', 'may', 'have', 'bee', 'off', 'in', 'the', 'sojos', 'that', 'i', 'got', 'therefore', 'i', 'will', 'give', 'it', '3', 'stars', 'sorry', 'it', 'was', 'not', 'accepted', 'more', 'readily', 'at', 'my', 'home', 'but', 'then', 'the', 'facts', 'are', 'the', 'facts', 'and', 'the', 'kitters', 'like', 'the', 'happens', 'to', 'be', 'december', 'as', 'i', 'write', 'so', 'merry', 'christmas', 'and', 'a', 'happy', 'new', 'year', 'signed', 'gabriella', 'age', '3', 'trinity', '3', 'wisdom', 'sometimes', 'known', 'as', 'black', 'majic', '5', 'mo', 'and', 'mercy', '5', 'mo', 'bye', 'ya', 'and', 'meow']","['bought', 'recommendation', 'bought', 'organic', 'catnip', 'came', 'one', 'amazon', 'recommendations', 'options', 'without', 'looking', 'reviews', 'checking', 'prices', 'got', 'immediately', 'catnip', 'proud', 'owner', '4', 'put', 'kidders', 'favorite', 'toys', 'pieces', 'kitty', 'furniture', 'soon', 'arrived', 'one', 'impressed', 'thought', 'might', 'day', 'acquired', '2', 'new', 'kittens', 'tempers', 'bit', 'thin', 'fur', 'persons', 'went', 'petco', 'one', 'afternoon', 'found', 'wonderful', 'toy', 'kitter', 'annoyed', 'huge', 'markdown', 'huge', 'pad', 'one', 'could', 'play', 'alone', 'thing', 'case', 'toy', 'even', 'provided', 'small', 'scratching', 'area', 'made', 'carboard', 'took', 'home', 'put', 'together', 'miss', 'annoyed', 'new', 'kittens', 'got', 'tin', 'sojos', 'organic', 'catnip', 'put', 'th', 'scratching', 'area', 'miss', 'annoyed', 'usually', 'goes', 'ape', 'catnip', 'likes', 'eat', 'enjoy', 'side', 'effects', 'happy', 'candy', 'went', 'new', 'toy', 'interested', 'playing', 'ate', 'mouthful', 'nip', 'shook', 'head', 'walked', 'away', 'clue', 'something', 'quite', 'needed', 'get', '4', 'guys', 'bond', 'went', 'back', 'amazon', 'began', 'looking', 'catnip', 'found', 'yeowww', 'catnip', 'huge', 'tub', 'read', 'reviews', 'product', 'got', 'great', 'reviews', 'ordered', 'immediately', 'needed', 'help', 'asin', 'b0002o0126', 'yeowww', '100', 'organic', 'loose', 'catnip', 'leaf', 'bud', 'blend', '1', 'ounce', 'pouch', 'arrived', 'next', 'day', 'soon', 'tub', 'open', 'applied', 'catnip', 'scratching', 'area', 'miss', 'annoyed', 'toy', 'sat', 'back', 'see', 'would', 'happen', 'showed', 'new', 'catnip', 'began', 'munch', 'away', 'became', 'miss', 'agreeable', 'perhaps', 'sojos', 'catnip', 'old', 'stale', 'fine', 'tin', 'cats', 'like', 'brand', 'made', 'huge', 'impression', 'though', 'leaning', 'towards', 'feeling', 'something', 'may', 'bee', 'sojos', 'got', 'therefore', 'give', '3', 'stars', 'sorry', 'accepted', 'readily', 'home', 'facts', 'facts', 'kitters', 'like', 'happens', 'december', 'write', 'merry', 'christmas', 'happy', 'new', 'year', 'signed', 'gabriella', 'age', '3', 'trinity', '3', 'wisdom', 'sometimes', 'known', 'black', 'majic', '5', 'mo', 'mercy', '5', 'mo', 'bye', 'ya', 'meow']","['bought', 'recommendation', 'bought', 'organic', 'catnip', 'come', 'one', 'amazon', 'recommendation', 'option', 'without', 'look', 'review', 'check', 'price', 'get', 'immediately', 'catnip', 'proud', 'owner', '4', 'put', 'kidders', 'favorite', 'toy', 'piece', 'kitty', 'furniture', 'soon', 'arrive', 'one', 'impressed', 'thought', 'might', 'day', 'acquire', '2', 'new', 'kitten', 'temper', 'bit', 'thin', 'fur', 'person', 'go', 'petco', 'one', 'afternoon', 'found', 'wonderful', 'toy', 'kitter', 'annoyed', 'huge', 'markdown', 'huge', 'pad', 'one', 'could', 'play', 'alone', 'thing', 'case', 'toy', 'even', 'provide', 'small', 'scratch', 'area', 'make', 'carboard', 'take', 'home', 'put', 'together', 'miss', 'annoyed', 'new', 'kitten', 'get', 'tin', 'sojos', 'organic', 'catnip', 'put', 'th', 'scratch', 'area', 'miss', 'annoyed', 'usually', 'go', 'ape', 'catnip', 'like', 'eat', 'enjoy', 'side', 'effect', 'happy', 'candy', 'go', 'new', 'toy', 'interested', 'play', 'ate', 'mouthful', 'nip', 'shook', 'head', 'walk', 'away', 'clue', 'something', 'quite', 'need', 'get', '4', 'guy', 'bond', 'go', 'back', 'amazon', 'begin', 'look', 'catnip', 'found', 'yeowww', 'catnip', 'huge', 'tub', 'read', 'review', 'product', 'get', 'great', 'review', 'order', 'immediately', 'need', 'help', 'asin', 'b0002o0126', 'yeowww', '100', 'organic', 'loose', 'catnip', 'leaf', 'bud', 'blend', '1', 'ounce', 'pouch', 'arrive', 'next', 'day', 'soon', 'tub', 'open', 'apply', 'catnip', 'scratch', 'area', 'miss', 'annoyed', 'toy', 'sat', 'back', 'see', 'would', 'happen', 'show', 'new', 'catnip', 'begin', 'munch', 'away', 'become', 'miss', 'agreeable', 'perhaps', 'sojos', 'catnip', 'old', 'stale', 'fine', 'tin', 'cat', 'like', 'brand', 'make', 'huge', 'impression', 'though', 'lean', 'towards', 'feel', 'something', 'may', 'bee', 'sojos', 'get', 'therefore', 'give', '3', 'star', 'sorry', 'accepted', 'readily', 'home', 'fact', 'fact', 'kitters', 'like', 'happens', 'december', 'write', 'merry', 'christmas', 'happy', 'new', 'year', 'sign', 'gabriella', 'age', '3', 'trinity', '3', 'wisdom', 'sometimes', 'know', 'black', 'majic', '5', 'mo', 'mercy', '5', 'mo', 'bye', 'ya', 'meow']","['bought', 'recommendation', 'bought', 'organic', 'catnip', 'come', 'one', 'amazon', 'recommendation', 'option', 'without', 'look', 'review', 'check', 'price', 'get', 'immediately', 'catnip', 'proud', 'owner', '4', 'put', 'kidders', 'favorite', 'toy', 'piece', 'kitty', 'furniture', 'soon', 'arrive', 'one', 'impressed', 'thought', 'might', 'day', 'acquire', '2', 'new', 'kitten', 'temper', 'bit', 'thin', 'fur', 'person', 'go', 'petco', 'one', 'afternoon', 'found', 'wonderful', 'toy', 'kitter', 'annoyed', 'huge', 'markdown', 'huge', 'pad', 'one', 'could', 'play', 'alone', 'thing', 'case', 'toy', 'even', 'provide', 'small', 'scratch', 'area', 'make', 'carboard', 'take', 'home', 'put', 'together', 'miss', 'annoyed', 'new', 'kitten', 'get', 'tin', 'sojos', 'organic', 'catnip', 'put', 'th', 'scratch', 'area', 'miss', 'annoyed', 'usually', 'go', 'ape', 'catnip', 'like', 'eat', 'enjoy', 'side', 'effect', 'happy', 'candy', 'go', 'new', 'toy', 'interested', 'play', 'ate', 'mouthful', 'nip', 'shook', 'head', 'walk', 'away', 'clue', 'something', 'quite', 'need', 'get', '4', 'guy', 'bond', 'go', 'back', 'amazon', 'begin', 'look', 'catnip', 'found', 'yeowww', 'catnip', 'huge', 'tub', 'read', 'review', 'product', 'get', 'great', 'review', 'order', 'immediately', 'need', 'help', 'asin', 'b0002o0126', 'yeowww', '100', 'organic', 'loose', 'catnip', 'leaf', 'bud', 'blend', '1', 'ounce', 'pouch', 'arrive', 'next', 'day', 'soon', 'tub', 'open', 'apply', 'catnip', 'scratch', 'area', 'miss', 'annoyed', 'toy', 'sat', 'back', 'see', 'would', 'happen', 'show', 'new', 'catnip', 'begin', 'munch', 'away', 'become', 'miss', 'agreeable', 'perhaps', 'sojos', 'catnip', 'old', 'stale', 'fine', 'tin', 'cat', 'like', 'brand', 'make', 'huge', 'impression', 'though', 'lean', 'towards', 'feel', 'something', 'may', 'bee', 'sojos', 'get', 'therefore', 'give', '3', 'star', 'sorry', 'accepted', 'readily', 'home', 'fact', 'fact', 'kitters', 'like', 'happens', 'december', 'write', 'merry', 'christmas', 'happy', 'new', 'year', 'sign', 'gabriella', 'age', '3', 'trinity', '3', 'wisdom', 'sometimes', 'know', 'black', 'majic', '5', 'mo', 'mercy', '5', 'mo', 'bye', 'ya', 'meow']"
5,"['these', 'chips', 'are', 'addictive', 'i', 'first', 'tasted', 'these', 'chips', 'while', 'visiting', 'relatives', 'in', 'ky', 'they', 'are', 'not', 'available', 'where', 'i', 'live', 'so', 'i', 'ordered', 'them', 'from', 'amazon', 'wow', 'my', 'friends', 'and', 'family', 'are', 'all', 'addicted', 'to', 'them', 'the', 'spicy', 'flavor', 'grabs', 'you', 'at', 'the', 'first', 'bite', 'once', 'a', 'bag', 'is', 'open', 'it', 'is', 'gone']","['chips', 'addictive', 'first', 'tasted', 'chips', 'visiting', 'relatives', 'ky', 'available', 'live', 'ordered', 'amazon', 'wow', 'friends', 'family', 'addicted', 'spicy', 'flavor', 'grabs', 'first', 'bite', 'bag', 'open', 'gone']","['chip', 'addictive', 'first', 'taste', 'chip', 'visit', 'relative', 'ky', 'available', 'live', 'order', 'amazon', 'wow', 'friend', 'family', 'addict', 'spicy', 'flavor', 'grab', 'first', 'bite', 'bag', 'open', 'go']","['chip', 'addictive', 'first', 'taste', 'chip', 'visit', 'relative', 'ky', 'available', 'live', 'order', 'amazon', 'wow', 'friend', 'family', 'addict', 'spicy', 'flavor', 'grab', 'first', 'bite', 'bag', 'open', 'go']"
1,"['terrible', 'artificial', 'sweetener', 'taste', 'this', 'juice', 'has', 'a', 'terrible', 'artificial', 'sweetener', 'taste', 'and', 'such', 'an', 'ingredient', 'should', 'have', 'been', 'listed', 'in', 'the', 'description', 'it', 'tastes', 'like', 'a', 'diet', 'soda', 'instead', 'of', 'fruit', 'juice']","['terrible', 'artificial', 'sweetener', 'taste', 'juice', 'terrible', 'artificial', 'sweetener', 'taste', 'ingredient', 'listed', 'description', 'tastes', 'like', 'diet', 'soda', 'instead', 'fruit', 'juice']","['terrible', 'artificial', 'sweetener', 'taste', 'juice', 'terrible', 'artificial', 'sweetener', 'taste', 'ingredient', 'list', 'description', 'taste', 'like', 'diet', 'soda', 'instead', 'fruit', 'juice']","['terrible', 'artificial', 'sweetener', 'taste', 'juice', 'terrible', 'artificial', 'sweetener', 'taste', 'ingredient', 'list', 'description', 'taste', 'like', 'diet', 'soda', 'instead', 'fruit', 'juice']"
5,"['these', 'are', 'so', 'easy', 'i', 'can', 'make', 'cookies', 'anytime', 'leave', 'plain', 'or', 'put', 'on', 'convenient', 'pouches', 'not', 'alot', 'of', 'ingreds', 'to', 'put', 'together', 'i', 'just', 'do', 'have', 'the', 'time', 'anymore', 'to', 'make', 'cookies', 'from', 'scratch', 'that', 'often', 'these', 'taste', 'really', 'good', 'and', 'i', 'use', 'subscribe', 'save', 'to', 'get', 'them', 'cheaper']","['easy', 'make', 'cookies', 'anytime', 'leave', 'plain', 'put', 'convenient', 'pouches', 'alot', 'ingreds', 'put', 'together', 'time', 'anymore', 'make', 'cookies', 'scratch', 'often', 'taste', 'really', 'good', 'use', 'subscribe', 'save', 'get', 'cheaper']","['easy', 'make', 'cooky', 'anytime', 'leave', 'plain', 'put', 'convenient', 'pouch', 'alot', 'ingreds', 'put', 'together', 'time', 'anymore', 'make', 'cooky', 'scratch', 'often', 'taste', 'really', 'good', 'use', 'subscribe', 'save', 'get', 'cheaper']","['easy', 'make', 'cooky', 'anytime', 'leave', 'plain', 'put', 'convenient', 'pouch', 'alot', 'ingreds', 'put', 'together', 'time', 'anymore', 'make', 'cooky', 'scratch', 'often', 'taste', 'really', 'good', 'use', 'subscribe', 'save', 'get', 'cheaper']"
5,"['excellent', 'buy', 'i', 'am', 'new', 'to', 'the', 'use', 'of', 'yuzu', 'kosho', 'but', 'i', 'immediately', 'fell', 'in', 'love', 'with', 'the', 'taste', 'and', 'versatility', 'of', 'this', 'product', 'i', 'have', 'purchased', 'the', 'green', 'one', 'too', 'very', 'good', 'as', 'well']","['excellent', 'buy', 'new', 'use', 'yuzu', 'kosho', 'immediately', 'fell', 'love', 'taste', 'versatility', 'product', 'purchased', 'green', 'one', 'good', 'well']","['excellent', 'buy', 'new', 'use', 'yuzu', 'kosho', 'immediately', 'fell', 'love', 'taste', 'versatility', 'product', 'purchase', 'green', 'one', 'good', 'well']","['excellent', 'buy', 'new', 'use', 'yuzu', 'kosho', 'immediately', 'fell', 'love', 'taste', 'versatility', 'product', 'purchase', 'green', 'one', 'good', 'well']"
5,"['excellent', 'for', 'my', 'senior', 'cats', 'i', 'ca', 'guarantee', 'for', 'everyone', 'but', 'this', 'food', 'really', 'works', 'for', 'my', 'tough', 'to', 'feed', 'seniors', 'as', 'cats', 'age', 'their', 'renal', 'systems', 'begin', 'to', 'gradually', 'fail', 'my', 'experience', 'with', 'cats', 'in', 'various', 'stages', 'of', 'renal', 'failure', 'is', 'to', 'feed', 'them', 'whatever', 'is', 'palatable', 'enough', 'to', 'keep', 'their', 'weight', 'up', 'not', 'give', 'weird', 'diets', 'that', 'restrict', 'protein', 'the', 'renal', 'diets', 'that', 'many', 'large', 'companies', 'have', 'been', 'trying', 'to', 'push', 'totally', 'ignore', 'the', 'fact', 'that', 'a', 'cat', 'in', 'any', 'stage', 'of', 'renal', 'failure', 'will', 'fail', 'faster', 'if', 'losing', 'weight', 'due', 'to', 'unpalatable', 'renal', 'or', 'low', 'protein', 'foods', 'our', 'renal', 'tests', 'here', 'confirm', 'that', 'they', 'are', 'very', 'early', 'stage', 'after', '3', 'years', 'of', 'solely', 'worrying', 'about', 'weight', 'loss', 'my', '3', 'cats', 'are', 'all', '18', 'and', 'one', 'of', 'the', 'three', 'had', 'improved', 'numbers', 'for', 'her', 'last', 'bun', 'last', 'month', 'and', 'the', 'other', '2', 'low', '40s', 'with', 'no', 'crystals', 'we', 'still', 'experience', 'chronic', 'utis', 'with', 'one', 'but', 'that', 'always', 'been', 'an', 'issue', 'for', 'her', 'her', 'weight', 'is', 'incredible', 'and', 'she', 'bounces', 'back', 'immediately', 'from', 'for', 'the', 'smell', 'of', 'poo', 'that', 'some', 'people', 'complain', 'about', 'in', 'these', 'high', 'quality', 'foods', 'really', 'if', 'you', 'do', 'like', 'smelly', 'poo', 'do', 'not', 'have', 'cats']","['excellent', 'senior', 'cats', 'ca', 'guarantee', 'everyone', 'food', 'really', 'works', 'tough', 'feed', 'seniors', 'cats', 'age', 'renal', 'systems', 'begin', 'gradually', 'fail', 'experience', 'cats', 'various', 'stages', 'renal', 'failure', 'feed', 'whatever', 'palatable', 'enough', 'keep', 'weight', 'give', 'weird', 'diets', 'restrict', 'protein', 'renal', 'diets', 'many', 'large', 'companies', 'trying', 'push', 'totally', 'ignore', 'fact', 'cat', 'stage', 'renal', 'failure', 'fail', 'faster', 'losing', 'weight', 'due', 'unpalatable', 'renal', 'low', 'protein', 'foods', 'renal', 'tests', 'confirm', 'early', 'stage', '3', 'years', 'solely', 'worrying', 'weight', 'loss', '3', 'cats', '18', 'one', 'three', 'improved', 'numbers', 'last', 'bun', 'last', 'month', '2', 'low', '40s', 'crystals', 'still', 'experience', 'chronic', 'utis', 'one', 'always', 'issue', 'weight', 'incredible', 'bounces', 'back', 'immediately', 'smell', 'poo', 'people', 'complain', 'high', 'quality', 'foods', 'really', 'like', 'smelly', 'poo', 'cats']","['excellent', 'senior', 'cat', 'ca', 'guarantee', 'everyone', 'food', 'really', 'work', 'tough', 'feed', 'senior', 'cat', 'age', 'renal', 'system', 'begin', 'gradually', 'fail', 'experience', 'cat', 'various', 'stage', 'renal', 'failure', 'feed', 'whatever', 'palatable', 'enough', 'keep', 'weight', 'give', 'weird', 'diet', 'restrict', 'protein', 'renal', 'diet', 'many', 'large', 'company', 'try', 'push', 'totally', 'ignore', 'fact', 'cat', 'stage', 'renal', 'failure', 'fail', 'faster', 'lose', 'weight', 'due', 'unpalatable', 'renal', 'low', 'protein', 'food', 'renal', 'test', 'confirm', 'early', 'stage', '3', 'year', 'solely', 'worry', 'weight', 'loss', '3', 'cat', '18', 'one', 'three', 'improve', 'number', 'last', 'bun', 'last', 'month', '2', 'low', '40', 'crystal', 'still', 'experience', 'chronic', 'utis', 'one', 'always', 'issue', 'weight', 'incredible', 'bounce', 'back', 'immediately', 'smell', 'poo', 'people', 'complain', 'high', 'quality', 'food', 'really', 'like', 'smelly', 'poo', 'cat']","['excellent', 'senior', 'cat', 'ca', 'guarantee', 'everyone', 'food', 'really', 'work', 'tough', 'feed', 'senior', 'cat', 'age', 'renal', 'system', 'begin', 'gradually', 'fail', 'experience', 'cat', 'various', 'stage', 'renal', 'failure', 'feed', 'whatever', 'palatable', 'enough', 'keep', 'weight', 'give', 'weird', 'diet', 'restrict', 'protein', 'renal', 'diet', 'many', 'large', 'company', 'try', 'push', 'totally', 'ignore', 'fact', 'cat', 'stage', 'renal', 'failure', 'fail', 'faster', 'lose', 'weight', 'due', 'unpalatable', 'renal', 'low', 'protein', 'food', 'renal', 'test', 'confirm', 'early', 'stage', '3', 'year', 'solely', 'worry', 'weight', 'loss', '3', 'cat', '18', 'one', 'three', 'improve', 'number', 'last', 'bun', 'last', 'month', '2', 'low', '40', 'crystal', 'still', 'experience', 'chronic', 'utis', 'one', 'always', 'issue', 'weight', 'incredible', 'bounce', 'back', 'immediately', 'smell', 'poo', 'people', 'complain', 'high', 'quality', 'food', 'really', 'like', 'smelly', 'poo', 'cat']"
5,"['my', 'dog', 'loves', 'them', 'my', 'dog', 'is', 'a', 'very', 'picky', 'eater', 'but', 'i', 'thought', 'i', 'would', 'give', 'these', 'treats', 'a', 'try', 'and', 'he', 'loves', 'them', 'he', 'a', 'tiny', 'five', 'pound', 'chorkie', 'so', 'they', 'are', 'a', 'perfect', 'size', 'for', 'him', 'and', 'even', 'if', 'you', 'had', 'a', 'bigger', 'dog', 'they', 'be', 'great', 'for', 'training']","['dog', 'loves', 'dog', 'picky', 'eater', 'thought', 'would', 'give', 'treats', 'try', 'loves', 'tiny', 'five', 'pound', 'chorkie', 'perfect', 'size', 'even', 'bigger', 'dog', 'great', 'training']","['dog', 'love', 'dog', 'picky', 'eater', 'thought', 'would', 'give', 'treat', 'try', 'love', 'tiny', 'five', 'pound', 'chorkie', 'perfect', 'size', 'even', 'big', 'dog', 'great', 'training']","['dog', 'love', 'dog', 'picky', 'eater', 'thought', 'would', 'give', 'treat', 'try', 'love', 'tiny', 'five', 'pound', 'chorkie', 'perfect', 'size', 'even', 'big', 'dog', 'great', 'training']"
